epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1262.61,0.81872,0.38343,0.78343,0.89133,0.72057,0.80274,0.54973,0.8107,0.39081,0.79687,0.0009035,0.0009035,0.0009035
44,1291.76,0.80584,0.38224,0.78474,0.84703,0.75382,0.80461,0.55338,0.8296,0.39732,0.79803,0.00089525,0.00089525,0.00089525
45,1320.47,0.85293,0.40535,0.78514,0.85546,0.71741,0.78317,0.52526,0.85859,0.41205,0.8013,0.000887,0.000887,0.000887
46,1349.77,0.80616,0.39563,0.78529,0.8592,0.7184,0.77206,0.53541,0.84274,0.40075,0.79794,0.00087875,0.00087875,0.00087875
47,1379.61,0.81469,0.39472,0.78509,0.94554,0.69585,0.8012,0.54441,0.81425,0.39106,0.79627,0.0008705,0.0008705,0.0008705
48,1408.78,0.79769,0.38266,0.78448,0.87681,0.70976,0.80252,0.53559,0.83382,0.40285,0.79978,0.00086225,0.00086225,0.00086225
49,1438.72,0.81668,0.38963,0.78625,0.88007,0.72193,0.80372,0.55199,0.81114,0.40139,0.79358,0.000854,0.000854,0.000854
50,1469.65,0.81371,0.3864,0.78464,0.88889,0.71576,0.78314,0.52879,0.85366,0.40654,0.798,0.00084575,0.00084575,0.00084575
51,1499.5,0.84265,0.3909,0.78718,0.83154,0.72125,0.78007,0.53419,0.8236,0.38145,0.79783,0.0008375,0.0008375,0.0008375
52,1528.37,0.80284,0.37371,0.78576,0.93872,0.69192,0.81445,0.54725,0.85032,0.38555,0.80075,0.00082925,0.00082925,0.00082925
53,1557.49,0.81807,0.37964,0.78416,0.85695,0.74384,0.80422,0.5714,0.83228,0.38419,0.79619,0.000821,0.000821,0.000821
54,1587.13,0.78859,0.37255,0.7833,0.87393,0.7336,0.80059,0.56776,0.80513,0.38934,0.79572,0.00081275,0.00081275,0.00081275
55,1616.39,0.7767,0.36455,0.7818,0.9357,0.7031,0.80915,0.56121,0.77965,0.39612,0.79489,0.0008045,0.0008045,0.0008045
56,1645.6,0.77187,0.36631,0.78416,0.82669,0.72634,0.78405,0.53417,0.79539,0.39979,0.79508,0.00079625,0.00079625,0.00079625
57,1674.76,0.77984,0.36827,0.7811,0.88204,0.7138,0.79861,0.54937,0.84006,0.39289,0.79672,0.000788,0.000788,0.000788
58,1704.46,0.77593,0.37515,0.78174,0.91432,0.73513,0.80334,0.56201,0.79761,0.39353,0.79495,0.00077975,0.00077975,0.00077975
59,1733.67,0.76301,0.3685,0.78184,0.8668,0.75221,0.80114,0.53996,0.8466,0.39363,0.79732,0.0007715,0.0007715,0.0007715
60,1763.2,0.78791,0.36889,0.78127,0.84131,0.76886,0.80213,0.55991,0.81131,0.39373,0.79692,0.00076325,0.00076325,0.00076325
61,1792.43,0.77044,0.36711,0.77919,0.91291,0.75242,0.82365,0.57403,0.79453,0.37291,0.79574,0.000755,0.000755,0.000755
62,1822.37,0.76451,0.358,0.78132,0.91273,0.73557,0.81566,0.55911,0.81877,0.39042,0.79468,0.00074675,0.00074675,0.00074675
63,1851.72,0.73715,0.34999,0.78005,0.84226,0.70376,0.79195,0.54825,0.80707,0.39109,0.79333,0.0007385,0.0007385,0.0007385
64,1881.69,0.79286,0.37343,0.78138,0.88487,0.72795,0.79675,0.55217,0.86001,0.39823,0.79589,0.00073025,0.00073025,0.00073025
65,1911.24,0.77095,0.36098,0.78185,0.89885,0.73354,0.82166,0.57478,0.78735,0.3906,0.79339,0.000722,0.000722,0.000722
66,1941.27,0.75966,0.35522,0.78014,0.8978,0.72452,0.82892,0.57637,0.77872,0.38216,0.79503,0.00071375,0.00071375,0.00071375
67,1971.46,0.73514,0.34772,0.78172,0.88338,0.73952,0.81439,0.54563,0.82515,0.41402,0.7951,0.0007055,0.0007055,0.0007055
68,1999.64,0.74843,0.3499,0.7805,0.891,0.74186,0.80463,0.54256,0.80917,0.38303,0.79525,0.00069725,0.00069725,0.00069725
69,2027.9,0.72571,0.34604,0.78018,0.95288,0.71468,0.79971,0.56739,0.77563,0.36507,0.79202,0.000689,0.000689,0.000689
70,2056.11,0.75572,0.35751,0.78198,0.85616,0.72667,0.78898,0.54286,0.81495,0.387,0.79693,0.00068075,0.00068075,0.00068075
71,2084.44,0.75301,0.35614,0.77912,0.91609,0.73946,0.80973,0.56149,0.7915,0.38819,0.79446,0.0006725,0.0006725,0.0006725
72,2113.76,0.76057,0.35929,0.77885,0.81982,0.73337,0.78645,0.55614,0.80989,0.39613,0.79542,0.00066425,0.00066425,0.00066425
73,2143.01,0.73198,0.34535,0.7793,0.8258,0.69039,0.78213,0.54557,0.78613,0.38277,0.7937,0.000656,0.000656,0.000656
74,2172.3,0.74209,0.3505,0.78003,0.85632,0.71389,0.78961,0.54198,0.82324,0.39388,0.79409,0.00064775,0.00064775,0.00064775
75,2201.78,0.72673,0.34451,0.7798,0.94451,0.7245,0.82191,0.5577,0.81104,0.37717,0.7942,0.0006395,0.0006395,0.0006395
76,2231.36,0.71613,0.34453,0.77908,0.93798,0.7315,0.8144,0.56241,0.80242,0.38219,0.79491,0.00063125,0.00063125,0.00063125
77,2261.28,0.72213,0.34242,0.77947,0.91648,0.71558,0.79717,0.55694,0.7982,0.38154,0.79481,0.000623,0.000623,0.000623
78,2290.6,0.72089,0.34197,0.77826,0.86693,0.68208,0.77545,0.53029,0.79941,0.38885,0.79403,0.00061475,0.00061475,0.00061475
79,2319.68,0.70883,0.33407,0.77728,0.9526,0.76008,0.84031,0.57985,0.79664,0.36643,0.79515,0.0006065,0.0006065,0.0006065
80,2349.51,0.73447,0.34205,0.77789,0.91012,0.73321,0.83285,0.57067,0.77243,0.37156,0.79297,0.00059825,0.00059825,0.00059825
81,2377.86,0.68095,0.32377,0.77768,0.88114,0.72789,0.8069,0.57231,0.78018,0.3687,0.79411,0.00059,0.00059,0.00059
82,2406.52,0.6856,0.32575,0.77651,0.903,0.70385,0.80662,0.56228,0.79214,0.37892,0.79346,0.00058175,0.00058175,0.00058175
83,2434.9,0.70111,0.33574,0.7784,0.9473,0.74012,0.82632,0.56587,0.78187,0.36974,0.79287,0.0005735,0.0005735,0.0005735
84,2463.04,0.70072,0.33415,0.77647,0.93777,0.73521,0.8162,0.58062,0.75909,0.36104,0.79188,0.00056525,0.00056525,0.00056525
85,2491.15,0.69068,0.32387,0.77477,0.88589,0.70009,0.80564,0.56864,0.76199,0.36266,0.79199,0.000557,0.000557,0.000557
86,2521.26,0.67612,0.319,0.77686,0.90145,0.75753,0.82876,0.59316,0.76774,0.35118,0.79254,0.00054875,0.00054875,0.00054875
87,2551.26,0.67222,0.32226,0.77542,0.86238,0.75925,0.8178,0.58567,0.77575,0.36975,0.79312,0.0005405,0.0005405,0.0005405
88,2580.48,0.69406,0.32771,0.77562,0.93537,0.7136,0.81903,0.5656,0.82552,0.38439,0.79751,0.00053225,0.00053225,0.00053225
89,2609.75,0.68576,0.3261,0.77587,0.95795,0.69745,0.82115,0.58225,0.80918,0.37325,0.79571,0.000524,0.000524,0.000524
90,2639.24,0.69268,0.32653,0.77762,0.91308,0.71585,0.80191,0.56429,0.78476,0.36272,0.79455,0.00051575,0.00051575,0.00051575
91,2668.59,0.70219,0.32584,0.77615,0.9553,0.72224,0.82298,0.55804,0.84794,0.37924,0.79333,0.0005075,0.0005075,0.0005075
92,2697.76,0.70342,0.32653,0.77757,0.88345,0.73967,0.81683,0.57073,0.77933,0.36043,0.79346,0.00049925,0.00049925,0.00049925
93,2727.47,0.6761,0.31574,0.77588,0.93785,0.697,0.81736,0.5775,0.79765,0.36529,0.79531,0.000491,0.000491,0.000491
94,2756.01,0.6648,0.31236,0.77664,0.88459,0.74321,0.82498,0.57403,0.7702,0.36568,0.79279,0.00048275,0.00048275,0.00048275
95,2784.62,0.66842,0.31721,0.77628,0.94791,0.71026,0.83248,0.59318,0.76897,0.37808,0.79219,0.0004745,0.0004745,0.0004745
96,2813.16,0.69063,0.32802,0.77809,0.9415,0.73617,0.83812,0.5985,0.74876,0.36275,0.79186,0.00046625,0.00046625,0.00046625
97,2841.8,0.6778,0.32298,0.77669,0.86347,0.73616,0.81797,0.56382,0.77712,0.37287,0.7944,0.000458,0.000458,0.000458
98,2871.61,0.65872,0.31429,0.77488,0.92011,0.74776,0.83065,0.5919,0.77405,0.37468,0.79259,0.00044975,0.00044975,0.00044975
99,2900.9,0.67265,0.31699,0.77581,0.8871,0.7432,0.82165,0.57929,0.7734,0.3611,0.79252,0.0004415,0.0004415,0.0004415
100,2930.33,0.65507,0.3085,0.77557,0.90475,0.72981,0.82202,0.57371,0.76,0.35498,0.79233,0.00043325,0.00043325,0.00043325
101,2959.29,0.67488,0.31558,0.77662,0.86614,0.74227,0.81165,0.56835,0.80982,0.3644,0.79442,0.000425,0.000425,0.000425
102,2988.55,0.66504,0.31202,0.77476,0.9369,0.72062,0.83148,0.57901,0.77785,0.36425,0.79256,0.00041675,0.00041675,0.00041675
103,3017.89,0.66545,0.31117,0.77423,0.91556,0.74435,0.84674,0.59915,0.77391,0.36377,0.79156,0.0004085,0.0004085,0.0004085
104,3048.02,0.64081,0.30323,0.77619,0.91777,0.73075,0.84224,0.60236,0.75971,0.35698,0.7915,0.00040025,0.00040025,0.00040025
105,3078.7,0.63689,0.30043,0.77245,0.96032,0.72322,0.85387,0.60985,0.77441,0.36183,0.79277,0.000392,0.000392,0.000392
106,3108.3,0.64415,0.30278,0.77374,0.91923,0.72889,0.83682,0.59772,0.78472,0.35953,0.79236,0.00038375,0.00038375,0.00038375
107,3136.59,0.64749,0.30571,0.77317,0.96341,0.71058,0.82507,0.58074,0.77638,0.36827,0.79185,0.0003755,0.0003755,0.0003755
108,3164.92,0.67055,0.31104,0.77591,0.94516,0.73372,0.81671,0.58107,0.7711,0.36483,0.79198,0.00036725,0.00036725,0.00036725
109,3193.86,0.61739,0.29476,0.77285,0.88524,0.73368,0.82499,0.59135,0.75784,0.35809,0.792,0.000359,0.000359,0.000359
110,3221.87,0.65292,0.30656,0.77349,0.92461,0.73481,0.8379,0.59706,0.78784,0.35799,0.79367,0.00035075,0.00035075,0.00035075
111,3250.21,0.64598,0.30474,0.7747,0.90472,0.73889,0.83243,0.59547,0.75582,0.34571,0.79115,0.0003425,0.0003425,0.0003425
112,3278.24,0.62709,0.29798,0.77195,0.95073,0.72449,0.82002,0.58147,0.76709,0.36178,0.79239,0.00033425,0.00033425,0.00033425
113,3306.47,0.63089,0.29607,0.77559,0.90021,0.73669,0.82666,0.58931,0.75182,0.35336,0.79036,0.000326,0.000326,0.000326
114,3334.91,0.62615,0.29426,0.77437,0.85937,0.74921,0.81399,0.58585,0.77088,0.36279,0.79204,0.00031775,0.00031775,0.00031775
